timestamp,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_volume,taker_buy_quote_volume
2020-03-16,123.82,152.55,101.1,122.32,11531693.74471,1434584795.7228136,3322771,5736344.96061,714059833.551138
2020-03-23,122.31,143.36,119.5,124.5,6613460.31407,880904806.5702285,2046998,3289978.24911,438481626.3601713
2020-03-30,124.47,149.76,124.06,142.68,4918442.82175,677699035.8493747,1481215,2441826.28827,336508356.3115929
2020-04-06,142.69,176.22,142.6,158.59,7843255.9423,1283987017.9383104,2094660,3894573.74983,637635225.8426058
2020-04-13,158.56,189.54,148.33,180.03,6963042.65527,1167514838.3714106,1758664,3441657.57552,577154095.5604964
2020-04-20,180.02,200.0,166.7,197.38,7306676.73642,1338645236.8195424,1900174,3598198.47132,659542868.1985834
2020-04-27,197.39,227.3,189.29,209.86,6890363.53637,1434072815.1823306,2170583,3377862.70939,703257164.7990073
2020-05-04,209.86,216.61,179.59,187.54,6902379.63527,1404313044.4435835,2129976,3368697.81167,685820085.0350784
2020-05-11,187.62,209.85,176.0,207.0,5967260.43774,1170109877.664287,1580858,2983701.9877,585376585.5732926
2020-05-18,207.02,217.07,191.71,199.9,5331065.62027,1109137788.7174232,1462064,2628629.73648,547119380.1482195
2020-05-25,199.9,247.0,196.9,231.57,4530088.58138,996101709.6267658,1606160,2277703.39172,500055794.1046476
2020-06-01,231.56,253.8,225.0,244.56,4414708.13506,1065341025.9402221,1734456,2207030.26471,532806703.3647848
2020-06-08,244.57,250.28,226.2,231.77,3056442.5613,733323470.8889253,1318565,1492567.05731,358324962.694348
2020-06-15,231.74,237.3,218.27,228.04,3144051.5027,722650570.9703672,1231428,1530944.44411,352028855.8189577
2020-06-22,228.03,249.24,216.0,224.93,4445766.32605,1039118340.1225133,1455509,2215596.57013,517927534.7555018
2020-06-29,224.89,232.71,221.26,227.56,3100841.13838,703327753.8520758,1139501,1539353.53757,349216628.5949865
2020-07-06,227.54,248.88,226.93,242.79,4289886.14639,1029302199.5622059,1558056,2141033.97238,513723476.7861537
2020-07-13,242.76,245.33,230.02,239.11,3001686.69182,711664203.9761308,1220336,1486188.40745,352438938.6913447
2020-07-20,239.12,318.75,234.05,311.0,6076641.38733,1674220270.045439,2329922,3101880.05168,853897090.5902271
2020-07-27,311.02,415.85,305.86,372.42,9244824.67952,3185192229.391866,3883687,4688015.62732,1616438342.7452223
2020-08-03,372.45,407.0,362.85,390.14,6576993.39017,2566700752.564365,2972625,3266542.01327,1275652469.1126187
2020-08-10,390.14,444.71,365.85,433.62,6590597.87305,2678316928.655504,3064625,3269052.38331,1328570729.025994
2020-08-17,433.61,446.0,379.92,390.71,5203572.95772,2136501046.9231591,2538564,2513840.32028,1032755150.6979798
2020-08-24,390.72,429.89,370.0,428.94,5591687.53907,2205635395.916673,2470329,2818547.8057,1112253939.8852458
2020-08-31,428.94,488.84,308.42,352.8,13682780.96188,5457886003.97784,5620101,6743638.45253,2691055534.0986576
2020-09-07,352.85,390.43,323.0,366.42,7754669.03464,2758634029.6068487,3273394,3861625.90875,1373849905.5183134
2020-09-14,366.43,394.14,355.0,371.04,6092193.56225,2288439990.6519055,2588166,3003094.37226,1128441377.2647634
2020-09-21,371.04,376.8,313.29,357.49,6100378.29173,2102309601.503232,2212725,2986219.19013,1029247624.078146
2020-09-28,357.58,370.45,334.24,352.37,3981294.62941,1407537844.1709194,1500083,1966595.57021,695501838.6003475
2020-10-05,352.34,378.4,332.18,374.16,3805329.06825,1348434327.4371617,1461232,1931995.77549,684923163.7804247
2020-10-12,374.17,394.8,361.18,378.11,3956236.57263,1488333713.0616896,1506652,1944523.17054,731822141.9849482
2020-10-19,378.12,420.73,365.27,405.86,5074779.73349,2010798677.869531,1993119,2515040.71176,996929395.4258311
2020-10-26,405.85,411.11,373.29,396.67,4755933.41039,1863876616.7757576,1902676,2322397.21902,910031672.8007877
2020-11-02,396.68,468.28,370.23,454.3,8341893.09966,3502153238.308151,3172370,4222853.82704,1775305710.5810306
2020-11-09,454.29,478.01,433.09,448.08,6539780.57886,2993099735.1554837,2915961,3222223.79255,1475792166.5887904
2020-11-16,448.07,580.88,445.45,560.03,9174279.77279,4595159841.343019,3861116,4611104.65011,2310088447.6897154
2020-11-23,560.03,623.0,481.0,576.3,10429209.47146,5803313677.301597,5139669,5179185.26085,2883752991.764544
2020-11-30,576.32,635.7,560.0,601.54,8027609.54695,4791088231.23418,4164747,3991826.60519,2384277042.032239
2020-12-07,601.59,603.15,530.43,590.7,4909009.26296,2777420915.5950646,2763601,2411822.96817,1364584026.2995708
2020-12-14,590.81,676.25,575.6,638.18,6936775.7109,4398464689.991926,3787771,3439853.25073,2179766675.7737913
2020-12-21,638.1,717.13,551.28,685.11,7473808.93661,4690669745.581461,4407111,3720060.6688,2336967731.9074793
2020-12-28,685.1,1011.07,681.04,978.28,9447316.9862,7400088411.248161,6041708,4787013.92109,3752654244.2004957
2021-01-04,978.33,1348.33,890.0,1254.25,16846289.4178,19133523177.289146,11730126,8435712.67095,9592331982.148169
2021-01-11,1254.24,1298.0,915.0,1232.45,14358744.29849,16141330142.524939,10366890,7154001.1987,8053335832.363112
2021-01-18,1232.5,1438.3,1042.31,1392.51,12347266.70021,15741163317.332508,10396825,6208092.88751,7921699234.728222
2021-01-25,1392.19,1475.0,1207.0,1312.55,11196117.05291,14975230148.305536,9652436,5583795.45253,7473347483.692737
