timestamp,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_volume,taker_buy_quote_volume
2020-03-16,0.02692,0.03396,0.02156,0.02703,3278422128.1,90026333.470028,433647,1606479866.1,44188418.49499
2020-03-23,0.02704,0.03143,0.0266,0.02806,1833142393.8,53570954.563138,207909,906163394.6,26503070.370059
2020-03-30,0.02808,0.03352,0.02801,0.0319,1437008191.9,44681383.994137,190702,722484067.9,22451057.473542
2020-04-06,0.03191,0.03695,0.0319,0.03347,1694422779.9,58863803.949712,215491,829288802.6,28795327.155138
2020-04-13,0.03345,0.037,0.03089,0.03549,1330456585.2,45122292.9567,186555,650653165.0,22072316.012014
2020-04-20,0.03549,0.04616,0.0337,0.04593,2225349961.7,89605513.959638,331262,1097524993.5,44190144.696058
2020-04-27,0.04594,0.05439,0.04415,0.04898,2983949215.0,147020080.688352,457667,1446201332.2,71299495.376315
2020-05-04,0.04897,0.05376,0.0425,0.04755,2528761012.1,124725218.272496,373670,1210216943.7,59709844.2123
2020-05-11,0.04758,0.05227,0.04485,0.05129,2009114846.6,100242307.45646,301362,976169508.3,48750736.36563
2020-05-18,0.05128,0.0576,0.05023,0.05125,2202070341.1,120013232.382792,322512,1065031771.7,58068874.678244
2020-05-25,0.05129,0.0865,0.05102,0.0739,4728133206.7,326078653.640603,826972,2341314874.1,161547181.674256
2020-06-01,0.07391,0.09039,0.0708,0.08657,4716975923.7,391320732.518922,1011248,2319328894.9,192499577.045116
2020-06-08,0.08655,0.08695,0.073,0.07642,2037215754.2,164396287.965191,579247,980355126.4,79178773.483957
2020-06-15,0.07644,0.08454,0.0693,0.07841,2273914194.8,178530563.758903,509749,1108784675.3,87135973.388207
2020-06-22,0.07839,0.08723,0.07453,0.08028,1757427315.8,142793642.634585,366536,859436057.7,69867012.407238
2020-06-29,0.08026,0.1021,0.08026,0.09813,3471929823.0,323116465.373202,710860,1747131805.3,162577219.055868
2020-07-06,0.09815,0.13877,0.09722,0.12685,5415936984.5,650262054.885038,1346951,2716041799.5,325845815.667918
2020-07-13,0.12689,0.136,0.11823,0.12402,2957266354.7,376062353.948227,820162,1431365905.8,182203180.228039
2020-07-20,0.12401,0.15464,0.11465,0.14849,2922760685.5,392811094.293345,711381,1470359292.2,197798170.663815
2020-07-27,0.14847,0.15101,0.1258,0.13375,3823596908.7,535989018.428958,1001018,1871525278.3,262496848.526923
2020-08-03,0.13381,0.1523,0.132,0.14512,2227892199.3,317177625.335745,607160,1102392080.1,157059767.770764
2020-08-10,0.14512,0.14653,0.12336,0.13882,2176207278.7,300547233.235954,630194,1053169554.7,145507695.117373
2020-08-17,0.13882,0.14484,0.1182,0.12141,1980324123.3,260988570.079197,558825,955642651.1,126028437.726052
2020-08-24,0.12146,0.12707,0.10211,0.11747,2102437105.0,237775569.372401,520448,1025151751.4,116047710.775231
2020-08-31,0.11742,0.12812,0.0854,0.0926,3616688513.2,380572714.648589,829548,1742607058.7,183623557.696778
2020-09-07,0.09266,0.09981,0.08603,0.09507,1988096535.0,186443553.633186,484643,969441974.0,90959170.106377
2020-09-14,0.09509,0.09804,0.08751,0.08936,1500354223.8,139269822.697147,343829,729736253.7,67757631.576011
2020-09-21,0.08936,0.10273,0.07545,0.1013,3047634824.9,267884132.386174,582852,1538201799.2,135336543.226118
2020-09-28,0.10132,0.10671,0.08967,0.09686,2120714258.1,209572255.395463,461507,1033208985.9,102127124.953872
2020-10-05,0.09684,0.11151,0.08934,0.10648,2000318087.2,200499587.449259,446784,1004934997.6,100734338.220748
2020-10-12,0.10652,0.11428,0.10216,0.10735,1888965711.7,203553524.245522,463977,949128261.0,102288776.319758
2020-10-19,0.10737,0.11279,0.10058,0.10639,1575884256.3,168795953.78554,380626,778073687.5,83438439.903631
2020-10-26,0.1064,0.1076,0.08915,0.09827,1532312898.8,149968126.249303,339847,750316377.8,73359253.886146
2020-11-02,0.09827,0.11387,0.08793,0.10655,2453766939.7,246751050.289723,628329,1244910236.3,125216169.525826
